날짜,시간,15분,30분,45분,60분,평균,생산량,기온,풍속,습도,강수량,전기요금(계절),day,d,m,공장인원,인건비,target
20210101.0,0.0,62.0,61.0,61.0,61.0,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,62.0
20210101.0,0.0,62.0,61.0,61.0,61.0,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,61.0
20210101.0,0.0,62.0,61.0,61.0,61.0,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,61.0
20210101.0,0.0,62.0,61.0,61.0,61.0,61.0,0.0,-3.2,2.4,71.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,61.0
20210101.0,1.0,96.0,93.0,116.0,113.0,105.0,0.0,-4.5,1.5,77.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,96.0
20210101.0,1.0,96.0,93.0,116.0,113.0,105.0,0.0,-4.5,1.5,77.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,93.0
20210101.0,1.0,96.0,93.0,116.0,113.0,105.0,0.0,-4.5,1.5,77.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,116.0
20210101.0,1.0,96.0,93.0,116.0,113.0,105.0,0.0,-4.5,1.5,77.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,113.0
20210101.0,2.0,106.0,96.0,106.0,107.0,104.0,0.0,-3.9,2.6,58.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,106.0
20210101.0,2.0,106.0,96.0,106.0,107.0,104.0,0.0,-3.9,2.6,58.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,96.0
20210101.0,2.0,106.0,96.0,106.0,107.0,104.0,0.0,-3.9,2.6,58.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,106.0
20210101.0,2.0,106.0,96.0,106.0,107.0,104.0,0.0,-3.9,2.6,58.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,107.0
20210101.0,3.0,92.0,110.0,110.0,109.0,105.0,0.0,-4.1,2.6,56.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,92.0
20210101.0,3.0,92.0,110.0,110.0,109.0,105.0,0.0,-4.1,2.6,56.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,110.0
20210101.0,3.0,92.0,110.0,110.0,109.0,105.0,0.0,-4.1,2.6,56.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,110.0
20210101.0,3.0,92.0,110.0,110.0,109.0,105.0,0.0,-4.1,2.6,56.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,109.0
20210101.0,4.0,108.0,105.0,106.0,108.0,107.0,0.0,-4.6,2.6,60.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,108.0
20210101.0,4.0,108.0,105.0,106.0,108.0,107.0,0.0,-4.6,2.6,60.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,105.0
20210101.0,4.0,108.0,105.0,106.0,108.0,107.0,0.0,-4.6,2.6,60.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,106.0
20210101.0,4.0,108.0,105.0,106.0,108.0,107.0,0.0,-4.6,2.6,60.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,108.0
20210101.0,5.0,89.0,83.0,99.0,98.0,92.0,0.0,-5.5,2.1,66.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,89.0
20210101.0,5.0,89.0,83.0,99.0,98.0,92.0,0.0,-5.5,2.1,66.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,83.0
20210101.0,5.0,89.0,83.0,99.0,98.0,92.0,0.0,-5.5,2.1,66.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,99.0
20210101.0,5.0,89.0,83.0,99.0,98.0,92.0,0.0,-5.5,2.1,66.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,98.0
20210101.0,6.0,102.0,111.0,110.0,103.0,107.0,0.0,-5.6,1.5,67.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,102.0
20210101.0,6.0,102.0,111.0,110.0,103.0,107.0,0.0,-5.6,1.5,67.0,0.0,109.8,5.0,1.0,1.0,0.0,1.5,111.0
